"","fipscode","state","county","county_ranked","freq_mental_distress","unemployment","food_insecurity","suicides","alcohol_impaired_driving_deaths","mental_distress_level","unemployment_level"
"1","24001","MD","Allegany County",1,16.5,7.77687693,16.9,16.225499183,48.48484848,"high","high"
"2","24003","MD","Anne Arundel County",1,12.2,5.83222996,9,12.31712056,29.18454936,"low","normal"
"3","24005","MD","Baltimore County",1,13.8,6.82798775,10.7,10.58532044,26.78571429,"high","normal"
"4","24009","MD","Calvert County",1,13.1,5.22629421,8.2,10.392933909,29.54545455,"low","normal"
"5","24011","MD","Caroline County",1,16.3,5.54599679,13.3,14.271725852,23.68421053,"high","normal"
"6","24013","MD","Carroll County",1,13.1,5.09277664,9.6,12.524311226,24.13793103,"low","normal"
"7","24015","MD","Cecil County",1,14.9,5.94243803,12.4,17.093797603,25.43859649,"high","normal"
"8","24017","MD","Charles County",1,13.1,6.72481678,6.9,10.513002338,35.38461538,"low","normal"
"9","24019","MD","Dorchester County",1,15.8,6.67292058,14.7,13.692225793,30.43478261,"high","normal"
"10","24021","MD","Frederick County",1,12.8,5.94429015,9.7,12.25949407,27.35849057,"low","normal"
"11","24023","MD","Garrett County",1,16.1,6.63218541,13.9,17.495296551,31.42857143,"high","normal"
"12","24025","MD","Harford County",1,13.2,5.78370212,9.8,12.044211955,25.80645161,"high","normal"
"13","24027","MD","Howard County",1,10.8,5.18121795,7.7,7.6934207352,26.78571429,"low","normal"
"14","24029","MD","Kent County",1,14.3,6.60182119,12.9,18.871364073,31.25,"high","normal"
"15","24031","MD","Montgomery County",1,10.3,6.33390348,8.6,7.4413678136,21.69312169,"low","normal"
"16","24033","MD","Prince George's County",1,12.3,8.20919496,7.3,6.3246256028,30.94262295,"low","high"
"17","24035","MD","Queen Anne's County",1,13.1,5.47753842,9.4,12.176669028,33.33333333,"low","normal"
"18","24037","MD","St. Mary's County",1,13.8,4.83231787,10.8,11.083060409,41.89189189,"high","low"
"19","24039","MD","Somerset County",1,17.3,8.30275229,16.1,10.536443256,25,"high","high"
